home_WC_last5,home_D_PTS_last5,home_D_REB_last5,home_D_AST_last5,home_FT_PCT_last5,home_FG_PCT_last5,home_FG3_PCT_last5,away_WC_last5,away_D_PTS_last5,away_D_REB_last5,away_D_AST_last5,away_FT_PCT_last5,away_FG_PCT_last5,away_FG3_PCT_last5,home_days_passed,away_days_passed,HOME_WINS,GAME_DATE_EST
2,-4.8,-1.4,-2.8,0.8056000000000001,0.4056,0.3338,3,0.8,0.2,-4.4,0.7194,0.38939999999999997,0.3574,2.0,3.0,0,2003-11-24
2,-9.2,-3.0,-4.0,0.8432000000000001,0.4096,0.23499999999999996,4,6.8,7.2,0.2,0.7394000000000001,0.4638,0.3794,2.0,1.0,0,2003-11-24
0,-9.4,-3.2,-9.0,0.7638,0.42560000000000003,0.35619999999999996,4,7.2,-1.0,1.2,0.7626000000000001,0.41739999999999994,0.39239999999999997,3.0,3.0,0,2003-11-24
1,-2.2,-9.0,1.4,0.7496,0.38039999999999996,0.281,2,-3.4,5.8,3.2,0.8992000000000001,0.438,0.37160000000000004,3.0,2.0,0,2003-11-24
2,-4.0,-8.6,0.6,0.7102,0.43099999999999994,0.404,2,0.4,-5.6,2.8,0.766,0.4298,0.31220000000000003,2.0,3.0,0,2003-11-25
2,-5.4,-0.2,-3.0,0.7048,0.40199999999999997,0.26859999999999995,2,-5.6,-0.4,-9.0,0.681,0.382,0.3634,2.0,2.0,0,2003-11-25
5,16.2,7.8,10.8,0.851,0.49879999999999997,0.4654,3,-4.2,-7.2,-2.2,0.7258,0.4396,0.3716,2.0,2.0,1,2003-11-25
3,1.4,4.4,-0.4,0.7866,0.39259999999999995,0.3022,3,1.6,-1.8,5.2,0.784,0.473,0.2746,3.0,3.0,1,2003-11-25
2,0.0,-6.8,-1.0,0.7954,0.42539999999999994,0.3214,2,-2.8,-1.6,-3.0,0.8154,0.3818,0.3222,2.0,3.0,1,2003-11-25
1,-5.6,2.0,-1.6,0.7001999999999999,0.4244,0.3084,4,6.6,7.2,1.0,0.6774,0.3976,0.3403999999999999,3.0,2.0,1,2003-11-25
5,9.8,1.4,2.2,0.7382000000000001,0.418,0.37279999999999996,4,6.8,1.2,5.6,0.8308,0.4504,0.2894,1.0,3.0,1,2003-11-25
4,5.6,-1.2,0.4,0.7642,0.4328,0.3254,0,-8.4,-3.6,-4.6,0.6942,0.44959999999999994,0.36019999999999996,3.0,2.0,1,2003-11-25
3,1.4,6.4,0.0,0.6428,0.38,0.3298,2,-4.6,2.6,1.0,0.7472,0.4258,0.2992,1.0,4.0,1,2003-11-26
0,-10.6,-3.6,-8.8,0.7542,0.42140000000000005,0.26959999999999995,1,-2.0,-7.6,-1.0,0.77,0.393,0.2924,2.0,2.0,0,2003-11-26
2,-7.2,-2.0,-3.6,0.8821999999999999,0.4202,0.2218,2,-10.2,-5.6,-1.2,0.7742,0.387,0.2596,2.0,3.0,0,2003-11-26
2,-3.0,0.0,-1.6,0.8071999999999999,0.3982,0.3524,4,6.0,6.8,0.0,0.764,0.45359999999999995,0.34080000000000005,1.0,2.0,1,2003-11-26
3,1.2,9.4,0.2,0.7428,0.4386,0.2488,3,2.8,3.2,-2.2,0.7266,0.41059999999999997,0.3732,5.0,2.0,1,2003-11-26
4,14.4,-2.2,5.8,0.796,0.4726,0.25860000000000005,3,-0.6,-1.6,-7.4,0.7462,0.4004,0.4064,3.0,1.0,1,2003-11-26
3,-3.4,-4.6,3.8,0.7406,0.47640000000000005,0.2848,4,8.6,0.4,1.6,0.76,0.4484,0.3794,1.0,1.0,1,2003-11-26
3,13.8,5.8,11.2,0.7072,0.4622,0.396,0,-13.0,-5.0,-5.0,0.6814,0.4636,0.307,5.0,1.0,1,2003-11-26
3,1.6,-1.8,3.0,0.8442000000000001,0.4378,0.3026,3,-2.0,1.2,3.8,0.9278000000000001,0.418,0.3222,1.0,2.0,0,2003-11-26
5,9.8,0.8,3.0,0.7408,0.4351999999999999,0.38039999999999996,3,-1.6,-0.2,3.6,0.893,0.44799999999999995,0.3294,2.0,1.0,1,2003-11-27
1,-9.0,-1.0,-3.2,0.8034000000000001,0.375,0.33499999999999996,3,7.8,-2.4,2.2,0.78,0.4516,0.35,3.0,2.0,0,2003-11-27
5,14.2,5.4,6.0,0.7724,0.4314,0.3198,3,-0.6,1.0,-0.8,0.7974,0.4314,0.4274,1.0,2.0,1,2003-11-28
1,-3.4,-7.2,-1.2,0.7737999999999999,0.40679999999999994,0.24579999999999996,2,-0.2,-3.4,-0.6,0.7814,0.4295999999999999,0.26339999999999997,2.0,3.0,1,2003-11-28
2,-5.8,0.8,-1.2,0.8412000000000001,0.43099999999999994,0.20060000000000003,2,-0.4,1.2,0.4,0.7584,0.45039999999999997,0.3834,2.0,3.0,1,2003-11-28
0,-10.4,-2.0,-7.2,0.7338,0.42279999999999995,0.22039999999999998,3,-3.8,-4.6,1.6,0.771,0.4182,0.30060000000000003,2.0,2.0,0,2003-11-28
3,3.2,3.2,-0.6,0.7448,0.4316,0.363,1,-7.2,1.8,-0.6,0.7162,0.4058,0.32120000000000004,2.0,2.0,1,2003-11-28
3,6.4,4.4,0.4,0.8039999999999999,0.4016,0.3422,4,3.8,-5.0,0.0,0.7918000000000001,0.44699999999999995,0.36619999999999997,3.0,2.0,1,2003-11-28
